,职位名称,招聘部门,薪资,地区,工作经验,学历,工作性质,职位诱惑,职位描述,工作地址,公司信息
322,NLP算法工程师,阳光保险集团科技中心 大数据部招聘,20k-40k,/北京 /,经验不限 /,硕士及以上 /,全职,"
大平台、技术大牛团队、成长快","
【岗位职责】
1.      参与公司智能问答系统、知识图谱等NLP应用项目，进行算法设计和开发实现、性能优化。
2.      参与智能问答、知识图谱领域前沿问题的探索与研究，结合未来实际应用场景，提供技术解决方案。
3.      参与深度学习的核心算法模型研究工作，为自然语言处理（如文本知识挖掘和知识推理、自动问答和对话、信息抽取、语义分析、知识图谱）提供算法和模型支持。
  【任职要求】
1、硕士以上学历，计算机、数学、统计学等机器学习相关专业，有良好的数学基础及建模能力。
2、1年以上自然语言处理经验包括语法分析、句法分析、语义表示、知识抽取、搜索引擎、对话系统等。
3、扎实的编程基础，至少精通一种编程语言，如C/C++，Java，python等。
4、了解深度学习在自然语言处理方向的相关算法和框架，有Tensorflow, PyTorch, Keras项目实战经验的优先。
5、有对话系统，聊天机器人，知识图谱构建、文本语义分析、深度学习、海量数据挖掘研发经验优先。
6、有独立研究能力, 勇于挑战和创新，工作主动性强，具有良好的团队精神、责任感强，具有良好的沟通能力及技巧。","北京 - 朝阳区 - 朝外 - 朝外大街乙12号昆泰国际大厦
","阳光保险集团
金融
不需要融资
2000人以上
http://www.sinosig.com/"
323,自然语言处理算法工程师,新浪微博机器学习-算法招聘,30k-60k,/杭州 /,经验3-5年 /,本科及以上 /,全职,"
带薪年假，弹性工作，免费班车","
*
岗位职责：
1.前沿语义技术在微博信息流特征建设中的应用
2.语言模型建设和优化，服务包括但不限于语音识别
3.智能问答（QA）的算法研究和引擎开发
  岗位要求:
1.毕业于211或985院校、统招硕士以上学历，计算机相关专业；
2.至少掌握一门编程语言（C/C++ 或者 Java）和一门脚本语言（Python或者Perl），有一定的软件开发项目经验；
3.能够跟踪最新的研究方向；
4.能够流畅阅读英文文献；
5.有相关工作经历或实验室背景优先；了解当前智能问答的方法优先；对前沿语义技术在微博媒体阅读应用有深刻理解者优先；
6.了解深度学习在自然语言处理上应用的优先；
*职位标签:自然语言处理、C/C++、NLP、算法、linux
*工作性质：全职
*工作经验：3-5年
*学历要求：硕士
所属部门：微博机器学习研发部","杭州 - 拱墅区 - 祥园路108号G座2号楼8层
","新浪微博
文娱丨内容
上市公司
2000人以上
http://weibo.com"
324,NLP算法工程师,字节跳动招聘,25k-50k,/北京 /,经验3-5年 /,本科及以上 /,全职,"
六险一金，弹性工作，免费三餐，租房补贴","
【base 北京/上海】


1、研究和开发NLP领域的算法，并将算法用到教育场景中；
2、跟进前沿的NLP技术，保持技术的领先。
职位要求：
1、计算机、数学、自动化等相关学科，1-5年以上相关工作经验；
2、扎实的数据结构和算法设计基础，精通C/C++或者Java编程，掌握Python/Perl等一门以上脚本语言；
3、熟悉各种自然语言处理和模式识别算法，至少熟悉一种深度学习框架；
4、有良好的英文读写能力和扎实的数学基础；
5、发表过高水平论文优先，有自然语言理解、聊天机器人、海量数据挖掘、知识图谱等研发经验优先；
6、责任心强，积极主动，有良好的沟通能力和团队合作能力。","北京 - 海淀区 - 北京大学 - 中关村辉煌时代大厦三层
","字节跳动
文娱丨内容
C轮
2000人以上
http://www.bytedance.com"
325,中级自然语言处理应用研发...,泰康保险集团泰康保险集团新技术研究院招聘,20k-35k,/北京 /,经验3-5年 /,硕士及以上 /,全职,"
优厚的薪资待遇和非常好的职业发展前景","
学历和工作经历要求：国内一流大学硕士及以上，博士学历拥有者或具有海外相关工作经历者优先考虑； 
工作任务：结合自然语言处理技术和集团业务需求，和团队成员一道在基于自然语言分析及自然语言生成等技术的智能问答机器人、保险、资管、医疗养老等方面的知识图谱的构建、智能投资顾问等应用领域展开项目研发和产品落地实施，包括客户需求深入调研、系统架构、算法和协议设计、编程实现及测试、产品落地安装及维护等。
 薪酬待遇及职业发展：具有市场竞争力的薪酬待遇， 良好公正的职业发展平台，和一批具有丰富国内外工作经历的专家和伙伴一起打拚共同进步","北京 - 昌平区 - 北清路生命科学园
","泰康保险集团
金融
不需要融资
2000人以上
http://www.taikang.com/"
326,自然语言处理工程师,觉晓教育产品研发部招聘,10k-20k,/重庆 /,经验1-3年 /,硕士及以上 /,全职,"
高薪,千平现代化,五险一金,30天年假","
工作职责：
1、信息抽取、文本摘要、文本分类、文本聚类、实体抽取、实体关系建模、推荐系统、语义搜索；
2、语料库、语义网无监督构建。
任职要求：
1、自然语言处理、人工智能、计算机科学与技术、应用数学等相关专业硕士以上学历；
2、精通算法设计数据结构；
3、信息抽取、文本摘要、文本分类聚类、语义搜索、推荐系统等相关方向的研究和开发经验；
4、精通java Python scala 至少一门开发语言；
5、较强的分析问题和解决问题的能力，缜密的逻辑思维能力，有攻关疑难的强烈兴趣；
6、有强烈的上进心和求知欲，善于学习新事物；
7、对NLP领域相关机器学习、算法有较深的研究和实践；
8、扎实的数学、统计学基础。","重庆 - 渝北区 - 宝圣大道西正街A座17楼觉晓教育
","觉晓教育
移动互联网,教育
不需要融资
150-500人
https://www.lagou.com/gon..."
327,自然语言处理算法工程师--...,深度赋智招聘,25k-50k,/深圳 /,经验1-3年 /,硕士及以上 /,全职,"
大牛云集，高速发展，高额年终，弹性工作","
**团队背景**

1. 团队主要由来自**腾讯、百度、华为**等公司的**资深研究员、架构师**构成，拥有世界尖端的NLP与信息分发的经验；
2. 团队成员来自于**985/211院校、顶级海外院校**，包括**CMU、牛津、帝国理工、UCL、港大、港中文、港科、北大、厦大**等院校，水平杰出；
3. 目前方向包括**NLP、推荐、搜索、知识图谱、对话、画像、AI平台、AutoML**等业界核心方向；
4. 工业、学术上我们会要求大家保持敏捷，一方面要在工业上做到业界顶尖水准；另一方面要在学术上对SotA有所追求，我们会有定期的工业、学术的文章研讨，一同学习进步；
5. 目前团队刚刚组建，现在加入可以拥有非常珍贵的、一个顶级AI公司从零开始的经历，同时也可以获得非常珍贵的和各路牛人近距离的交流机会。

**岗位描述**

1. 负责文本信息的内容理解，包括但不限于文章主题分类、关键词提取、质量分级、语义理解、意图识别、观点分析、slot-filling等；

**岗位要求**

1. 计算机、智能、数学或相关专业硕士以上学历；
2. 熟练掌握C/C++和Python语言编程，熟悉linux开发环境，有扎实的数据结构和算法设计功底；
3. 熟练掌握NLP基础理论和算法，在一个或多个领域（如文本分类、语义理解、知识图谱构建、篇章理解、情感分析、自然语言生成等）有2年以上实际工作经验；
4. 有优秀的逻辑思维能力和数据分析能力，善于分析和解决问题；良好的沟通能力与团队协作能力；
5. 熟练掌握机器学习、深度学习的基础理论和方法，并在自然语言处理任务中有实际应用经验者优先；
6. 熟练使用一种或几种深度学习框架（如tensorflow、caffe、mxnet、pytorch等），或者熟悉spark、hadoop分布式计算编程者优先。","深圳 - 南山区 - 西丽街道松坪山社区松坪山朗山路11号同方信息港B栋201
","深度赋智
人工智能
未融资
15-50人
http://www.fuzhi.ai"
328,自然语言处理算法工程师,乐融集团招聘,15k-30k,/北京 /,经验3-5年 /,本科及以上 /,全职,"
搜索推荐核心技术","
岗位描述：
1.负责使用自然语言和机器学习技术，分析文本信息和系统日志；
2.利用NLP技术解决相关技术问题，如搜索个性化、用户画像等；
3.追踪算法前沿技术，结合业务需求，探索将前沿的算法技术应用于实际业务中。
  职位要求：
1.扎实的算法基础，熟悉机器学习算法相关理论，具备良好的数学基础；
2.熟悉自然语言处理相关领域的知识与技能，熟悉常见的NLP领域算法；
3.熟悉Python，C++，Java等一种或一种以上编程语言；
4.熟悉Hadoop和Spark等；
5.较好的主动性，良好的沟通和协作能力；","北京 - 朝阳区 - 朝阳公园 - 北京市朝阳区姚家园路105号乐视大厦 ✉
","乐融集团
移动互联网
上市公司
2000人以上
http://www.letv.com"
329,NLP产品经理,声智科技语义平台部招聘,20k-30k,/北京 /,经验3-5年 /,本科及以上 /,全职,"
股票期权,六险一金,年度旅游,节假日福利","
岗位职责：
1. 完成自然语言处理业务方需求分析、产品规划、功能和原型设计；
2. 推动产品的开发与发布，与内外部协调推进，对产品的数据进行分析形成相关结论；
3. 负责撰写产品文档、分析报告和汇报材料，对产品进行持续优化和改进；
4. 进行项目管理，沟通推进智能语音交互重点项目进度。

任职资格：
岗位要求：
1．本科及以上学历，有人工智能产品或自然语言处理产品2年以上工作经验；
2．对人工智能和大数据的应用有深刻的理解、独特的分析和洞察力；
3．对数据敏感，能够快速发现和收集各渠道有价值的信息来源；
4．性格开朗，逻辑清晰，执行力和沟通能力强，能积极主动发现问题和完成任务；
5．熟练运用PPT、Excel、Axure、Visio等工具；
6．有产品需求分析、原型设计经验者优先。                        ","北京 - 海淀区 - 北京大学 - 北京市海淀区北四环西路67号中关村国际创新大厦A座308室
","声智科技
人工智能
B轮
本轮投资由毅达资本领投，峰瑞资本、正居资本跟投，中关村银行、InnoVen Capital联合参与(B轮)，洪泰基金、FreesFund峰瑞资本(A轮)，FreeVC，360，润浙(天使轮)
150-500人
http://www.soundai.com"
330,NLP算法工程师,金证优智招聘,20k-40k,/北京 /,经验3-5年 /,本科及以上 /,全职,"
技术大牛,团队氛围好,高成长","
职责：
文本处理类算法，各种新闻文本、公告文本等分析处理，包括三个方向：
1. 文本信息抽取。使用包括正则表达式、句法分析、机器学习、深度学习等技术实现文本内容抽取的具体算法和接口；
2. 文本检索与接口实现。能使用全文检索工具，了解全文检索数据库（ElasticSearch）的算法和性能优化。对文本处理、相似度计算、语义分析等方面有了解；
3. 知识图谱。对语义网、RDF有了解，能使用图数据库如Neo4j进行知识图谱的构建、查询、图算法等。
  要求（文本处理方向，NLP+知识图谱）
1. 掌握自然语言文本处理方法，如正则表达式、句法分析、机器学习，能通过不同方法实现自然语言处理任务；
2. 能熟练使用Gensim、NLTK、HanLP等常用NLP工具，有较强的工程实践能力；
3. 有相关项目经验者优先，如词类相关（分词、词性标注、命名实体识别、实体-关系提取），句类相关（句法结构解析、依存关系解析），文档类相关（情感分析、主题建模）；
4. 对深度学习、自然语言处理等领域前沿技术跟进密切者优先；
5. 对文本搜索、ElasticSearch全文搜索数据库有经验者优先；
6. 对于知识图谱构建、查询、图算法优化等方向有经验者优先；
7. 能在Tech Leader的带领下，参与项目设计、功能开发、算法设计、单元测试、持续集成、自动化部署等工作；
8. 能遵守公司制定的开发规范，接受Coding Style、Code Review、测试覆盖等方面的指导和规范。","北京 - 海淀区 - 魏公村 - 学院南路99号农科院南门百成科技楼2楼
","金证优智
人工智能
A轮
15-50人
https://www.lagou.com/gon..."
331,NLP算法工程师,混沌大学招聘,20k-40k,/北京 /,经验1-3年 /,本科及以上 /,全职,"
弹性工作,六险一金,大牛云集,学习氛围","
岗位职责：
1、负责开发基础NLP模块：词性标注、命名实体识别、语义理解等；
2、负责通过文本分析，提取有效的特征进行后续文本挖掘；
3、负责选择合适的文本分类、聚类等算法进行大规模的文本处理；
4、负责从海量文本数据中挖掘有效信息，构建行业知识图谱；
5、使用上述算法工具进行业务系统开发，测试和维护。
任职要求：
1、计算机自然语言处理、人工智能、模式识别、应用数学等相关领域本科或以上学历；
2、掌握自然语言处理领域的基本知识，包括但不限于：分词、词性标注、命名实体识别、语法分析、语言模型、文本分类等；
3、掌握自然语言处理的常用技术和算法；
4、有较丰富的python、c\c++、java等语言开发经验；
5、有海量数据挖掘、知识图谱构建、深度学习研发实践经验优先；
6、有智能教育领域相关经验者优先。","北京 - 海淀区 - 北太平庄 - 海淀区北三环中路44号院C座4层C408
","混沌大学
移动互联网,教育
不需要融资
150-500人
http://www.hundun.cn"
332,nlp算法工程师,小i机器人研究院招聘,15k-25k,/上海 /,经验1-3年 /,硕士及以上 /,全职,"
晋升空间大,福利待遇好,餐补,人工智能","
1.负责语义分析引擎算法性能优化、算法研究和策略改进；

2.利用自然语言处理算法提高知识库构建效率；

3.负责自然语言处理相关前沿算法的研究和应用；

4.实现和优化其他相关算法。

招聘要求（Job Requirement）

1.掌握实现基本的数据结构和算法，具备复杂算法分析和调优能力

2.掌握Java，C/C++等编程语言中的至少一种

3.熟悉机器学习及数据挖掘相关领域的算法

4.良好的逻辑思维能力，优秀的分析问题和解决问题的能力

5.具有较好的沟通能力和团队合作精神，主动，敬业

6.有语音和语义研发经验的优先","上海 - 嘉定区 - 江桥 - 金沙江西路1555弄383号1楼
","小i机器人
企业服务,数据服务
上市公司
500-2000人
http://www.xiaoi.com"
333,自然语言处理算法工程师,搜狐集团搜狐视频招聘,15k-30k,/北京 /,经验不限 /,本科及以上 /,全职,"
弹性工作","
岗位职责:
1. 基于视频业务场景，提供自然语言处理技术的解决方案；
2. 负责或参与自然语言处理算法在智能评论相关领域的应用，包括基于视频文本与内容理解的智能评论生成，以及智能评论回复；
3. 负责或参与基于语义理解的视频分类与标签提取相关算法开发，包括但不限于：文本分词，主题聚类，命名实体识别，知识图谱搭建等；
4. 负责或参与语音识别、文本纠错等其他自然语言处理相关工作；
任职资格:
1. 计算机或相关专业本科以上学历；
2. 优秀的编码能力，以及扎实的数据结构与算法功底；
3. 熟悉机器学习相关算法，熟悉NLP相关算法与模型（语言模型、CRF、LDA、word2vec、CNN/RNN、LSTM、Transformer、BERT等）；
4. 参与或主导过NLP项目并有实践经验者优先（如文本分类、主题聚类、文本生成、知识图谱、问答系统等）
5. 熟练掌握以下至少一门编程语言：Python/Java/C/C++；
6. 熟悉以下至少一种深度学习框架：Tensorflow/Caffe/Theano/PyTorch等；
7. 熟悉Linux开发环境；
8. 发表过高水平学术会议论文者优先（机器学习/深度学习/NLP）；","北京 - 海淀区 - 北京市海淀区北京市海淀区科学院南路2号院3号楼搜狐媒体大厦
","搜狐集团
移动互联网,广告营销
上市公司
2000人以上
http://www.sohu.com"
334,高级自然语言处理（主管）,睿至大数据招聘,15k-30k,/成都 /,经验5-10年 /,本科及以上 /,全职,"
平台大 前景好","
岗位职责：
1）负责公司自然语言处理相关产品的研发
2）自然语言领域新技术的研究及培训
3）配合公司其他同事，将研究成果产品化/工程化

任职要求：
1）计算机相关专业毕业，本科及以上学历
2）能熟练使用Python语言
3）八年以上工作经验，三年以上自然语言相关工作经验
4）熟悉常见的自然语言处理算法，比如分词、文本分类、文本相似度比较、实体提取等
5）熟悉深度学习领域有关自然语言处理的算法，有调优经验者佳
6）有文本结构化经验者更佳
7）有较强的沟通能力、分析问题和解决问题的能力
8）有较强的责任感
9）喜欢接触新事物","成都 - 高新区 - 成都市高新区交子大道33号中国华商金融中心1号楼18层
","睿至大数据
数据服务
未融资
150-500人
http://www.zettakit.com"
335,NLP算法高级工程帅,泰康在线互联网实验室招聘,16k-26k,/武汉 /,经验1-3年 /,硕士及以上 /,全职,"
平台大，福利全，学习氛围好，发展空间大","
工作内容：
1、参与互联网金融实验室人工智能研发团队，负责语音/语言相关算法的研究与优化；
2、语音识别、自然语言处理、机器学习、深度学习等前沿技术的研究。

任职要求：
1、全日制统招研究生以上学历；
2、学习能力强，有技术热情。","武汉 - 江岸区 - 车站 - 建设大道738号浙商大厦36楼（3/6/7号线香港路站D出口）
","泰康在线
移动互联网,金融
不需要融资
500-2000人
http://www.taikang.com"
336,NLP算法工程师,小红书技术部招聘,30k-50k,/上海 /,经验3-5年 /,本科及以上 /,全职,"
年底多薪,六险一金,租房补贴,发展空间大","
工作职责：
1、构建小红书基础NLP算法平台；
2、对海量文本和图像进行深度分析，基于文本、图像、视频，抽取文章主题，情感分析，识别图像主题、物体、场景等；
3、学习NLP、图像视频领域的先进技术并开展相关研发工作。
任职资格:
1、计算机／数学／统计学／模式识别相关专业，985院校本科以上学历；
2、熟悉NLP、图像识别、机器学习的理论基础，2年以上NLP工作经验，有海量数据挖掘、用户画像、知识图谱研发经验优先；
3、具有优秀的编程能力，精通Python、Golang以及常用脚本语言；
4、在文本分析、图像物体识别，图像主题分类等领域有丰富经验优先；
5、责任心强，积极主动，有良好的沟通能力和团队合作能力。
【加分项】
1、熟悉Scala、Java或Python语言;
2、熟悉Hive，Spark，Redis，Cassandra，MongoDB，RabbitMQ，RocksDB等多种开源系统架构、原理；
3、熟悉NER相关模型算法者优先。","上海 - 黄浦区 - 马当路388号SOHO复兴广场C座2楼
","小红书
消费生活
D轮及以上
500-2000人
http://www.xiaohongshu.com"
337,Nlp知识图谱工程师,深睿医疗招聘,20k-40k,/北京 /,经验3-5年 /,本科及以上 /,全职,"
大牛,行业前景行,福利好,氛围好","
职责：
1.通过nlp信息抽取、图算法等技术，从海量数据中进行疾病、药物等知识/关系挖掘
2.构建医疗领域知识图谱平台和知识推理体系，开发并完善临床辅助决策系统
3.能够带领团队,从事知识图谱领域前沿算法的研发,技术驱动
要求
1.计算机科学相关专业,硕士及以上学历;2年以上工作经验;
2.系统实现能力强,熟练掌握Python/Java/C中一种;熟练进行文本处理，变换，清洗
3.熟悉常用机器学习、数据挖掘、NLP相关应用与算法；具有NLP信息抽取、知识图谱构建经验者优先
4. 良好的编码习惯，较强的沟通、需求理解能力和良好的责任心、团队合作能力
加分项：
1.医学文本信息挖掘工作经验；
2.CDSS(临床辅助决策系统)核心功能开发经验","北京 - 海淀区 - 中关村 - 京市海淀区海淀大街8号中钢国际广场
","深睿医疗
移动互联网,医疗丨健康
C轮
君联资本、联想之星等(B轮)，丹华资本等(A轮)，昆仲资本 洪泰资本(A轮)
150-500人
http://www.deepwise.com"
338,NLP算法工程师-创新工具,字节跳动招聘,30k-60k,/深圳 /,经验不限 /,本科及以上 /,全职,"
六险一金，高薪期权，弹性工作，职业大牛","
职位职责：
1、负责基于文档的智能化需求开发；
2、负责文本特征的处理、画像体系建设；
3、负责自然语言处理基础能力建设，针对特定场景搭建自然语言处理基础组件。

职位要求：
1、有出色的编程能力，至少熟练掌握Python/Java/C/C++/Golang等一门编程语言；
2、熟悉自然语言处理的实体提取、意图识别、事件摘要、语义分析、新词发现、图文数据分类、对话系统等相关任务，并在特定领域有深入的实践经验；
3、熟悉常用的机器学习算法（LR/GBDT/SVM等），有相关的实现项目经验；熟悉深度学习的原理和实现，了解DNN、LSTM、CNN等基本网络模型，熟练掌握Tensorflow/Torch/Keras等至少一种深度学框架；
4、有文本数据处理、特征工程以及画像体系建设等方面经验。","深圳 - 南山区 - 南海大道2163号来福士广场15层
","字节跳动
文娱丨内容
C轮
2000人以上
http://www.bytedance.com"
339,资深NLP算法工程师,PwCAI招聘,19k-23k,/上海 /,经验1-3年 /,本科及以上 /,全职,"
500强 带薪年假 弹性工作 子女福利","
We are looking for engineers with good background in natural language processing, deep learning, machine learning and data mining. You will join an active and talented AI team, working together to apply AI techniques for solving real problems. You will face customers from different countries and regions, your contribution can make a big difference for our partners.

Responsibilities:
1) Development high quality model in natural language processing, deep learning, and machine learning.
2) Research AI algorithms for natural language understanding, customer/sale chatbot, personal assistant, and evaluating AI algorithms for particular application scenario.
3) Develop AI products and solutions for customer requirements. Including text mining, information retrieval, text generation, question answering, knowledge graph, speech recognition, text-to-speech etc.

Key Qualifications:
•Bachelor and Master (2 years or more experience) or Ph.D, have experience in at least one of the following fields:
• Natural language processing: text labeling and parsing, dependency paring, relation extraction, question answering and chatbot, entity recognition and extraction, Text Summarization, Sentiment Analytics. etc.
• Machine learning/data mining: deep learning, reinforcement learning, transfer learning, large-scale optimization, information retrieval, etc.
•Good math or analytical skills (probability, algebra, optimization, etc.).
•Ability to quickly developing with practical algorithms, fits algorithms to customer requirements, and coding in Python, with ML\DL tools and platforms (PyTorch, TensorFlow, Caffe, Mxnet, etc.).
•Good language speaking and other skills in English or Japanese, etc. 

Preferred Qualifications:
•Experiences in developing new algorithms states from top journals/conferences papers
•Experiences in integrating customized techniques into the live production system and cloud platforms.
•Experiences in other programming languages, Java, C++, JS, etc.
•Finance/insurance/Accounting industry experience is a plus but not required.
•Self-motivated and eager to learn new things, acute understanding for global business.
•Team orientation: work together with agile team, rather than individually","上海 - 浦东新区 - 金科路2889弄B座6楼
","PwC
移动互联网,金融
未融资
500-2000人
http://www.pwc.com"
340,自然语言处理NLP算法工程师,百度招聘,20k-40k,/北京 /,经验3-5年 /,本科及以上 /,全职,"
发展前景好","
工作职责：
-负责内容质量及反作弊相关研发工作
-负责文本处理相关核心算法研发工作
-应用机器学习、自然语言处理等技术，进行内容资源的分析挖掘，构建内容质量及内容标签体系
职位要求：
-熟悉自然语言处理、机器学习、模式识别等常用算法，对自然语言方向有浓厚兴趣，有3年以上相关项目经验、有深度学习经验者优先
-熟练使用C/C++/Python等至少一门语言，熟练使用数据结构和常用算法，有较强的算法设计和实现能力
-较强的技术攻关能力，能够跟进领域内最新技术研究成果，并结合应用场景快速实验和调优
-具备优秀的分析问题和解决问题的能力，对解决具有挑战性问题充满激情 
-具备良好的团队合作精神和沟通意识","北京 - 海淀区 - 西北旺 - 百度科技园5号楼
","百度
工具
不需要融资
2000人以上
http://talent.baidu.com/e..."
341,搜狗输入法-自然语言处理研...,搜狗招聘,20k-40k,/北京 /,经验3-5年 /,本科及以上 /,全职,"
亿万用户，团队气氛佳","
【项目介绍】 
 输入法是人与智能设备交互的中介，是网民表达信息从而获取信息的入口。搜狗输入法集聚了10年的技术积累和沉淀，但在用户意图识别及行为预测，用户个性化，输入效率提升等基本问题上，仍有值得深入和精益求精的地方；依托输入法相关的大数据，我们也在新的人机交互模式，用户表示，深度学习语言模型，聊天场景对话，以及商业化上进行探索和尝试。
【职位诱惑】
1. 输入法客户端及云端服务的内核功能研发与技术转化；
2. 深度学习语言模型及对话模型在云端及客户端的应用和技术实现，在资源受限场景下寻找最优实现方案，将人工智能应用到亿万用户个人设备上；
【特别提示】搜狗欢迎专情的你，所以提醒你只能选择两个项目，请慎重投递。 
【岗位职责】
1. 输入法客户端及云端服务的内核功能研发与技术转化；
2. 深度学习语言模型及对话模型在云端及客户端的应用和技术实现，在资源受限场景下寻找最优实现方案，将人工智能应用到亿万用户个人设备上；

任职条件
1. 计算机或相关专业，本科或以上学历，2年或以上工作经验；
2. C/C++编程背景和算法基础，熟悉程序调试及性能优化工具及方法；
3. 有python/Perl/shell等脚本处理经验，具备一定数据分析能力；
4. 善于学习新事物，善于表达和沟通，有较强的分析和解决问题能力，工作有激情

加分项，不做硬性要求：
1. 有云服务研发经验者优先
2. 有输入法/自然语言处理/机器学习相关项目者优先","北京 - 海淀区 - 五道口 - 中关村东路一号院清华科技园搜狐网络大厦
","搜狗
工具
上市公司
2000人以上
http://www.sogou.com"
342,NLP工程师（知识图谱预研）(J...,知道创宇招聘,15k-25k,/成都 /,经验1-3年 /,硕士及以上 /,全职,"
技术氛围好","
工作职责:
1. 研究自然语言处理领域的前沿技术；
2. 负责 NLP 基础工程的开发和优化，包括并不限于分词、词性标注、语法
分析、语义分析、命名实体识别和命名实体关联关系发现等；
3. 利用自然语言处理的理论和方法解决实际项目问题；
4. 针对海量非结构化文本，进行数据特征挖掘，聚类分类，相似性计算，关联挖掘和语义分析；
5. 能够根据问题需求，结合自然语言处理相关技术给出解决方案，并负责相关模块的工程实现;

任职资格:
1. 熟练掌握自然语言处理领域的基础理论和方法，并有一定的相关研究或项目经验；
2. 熟悉NLP领域当前热点和前沿技术，对NLP有完整的、系统的认识，对深度学习有一定的了解；
3. 熟悉Python/C++/Java任意一门语言编程，熟悉Linux工作环境，对数据结构和算法设计有较为深刻的理解；
4. 熟悉Hadoop生态圈、图数据库挖掘；
5. 优秀的分析问题和解决问题的能力，对解决具有挑战性问题充满激情；
6. 能独立思考、承受压力，善于沟通和团队合作","成都 - 高新区 - 天府三街腾讯大厦B座11F
","知道创宇
信息安全
C轮
500-2000人
http://www.knownsec.com"
343,高级NLP算法工程师,小米大数据部招聘,25k-50k,/北京 /,经验3-5年 /,本科及以上 /,全职,"
明星团队，大牛云集","
工作职责：
1. 负责小米用户画像标签挖掘/实体识别/语言模型等算法研发。
2. 负责用户标签构建以及知识图谱构建。
3. 负责自然语言处理基础模块以及知识体系的建设。
     任职要求：
1.本科及以上学历，至少工作3年以上
2. 具有良好的自然语言处理、数据挖掘、机器学习等方面的技术背景。
3. 有以下经验者优先：知识库构建和挖掘、智能问答、信息抽取、爬虫、topic model、知识图谱等技术研发。
4. 熟练掌握常见的机器学习模型（包括深度学习）。
5. 优秀的编程能力，精通JAVA/C++/C以及常用脚本语言。
6. 具有大数据处理能力，有spark经验者优先","北京 - 海淀区 - - 清河
","小米
硬件
D轮及以上
2000人以上
http://www.mi.com"
344,资深NLP算法工程师,摄星科技招聘,15k-30k,/南京 /,经验不限 /,本科及以上 /,全职,"
创业公司，扁平化管理，领域独角兽","
条件要求:
● 大学统招本科及以上学历，AI,NLP，机器学习、数学、物理或相关专业毕业生
● 熟悉Python/C++/Java中的至少一门语言
● 熟悉Pytorch/Torch/Tensorflow中的至少一门语言
● 熟悉LSTM,CNN,RNN,seq2seq，BERT神经网络模型
● 熟悉自然语言处理基本任务
● 机器学习或NLP相关工作经验优先
● 有机器学习经验，熟悉深度学习、神经网络和相关领域优先
● 良好的沟通技能，能够与团队有效沟通交流

职责描述：
● 利用自然语言处理、深度学习的理论和方法解决行业的实际问题
● 与内部团队协作，挖掘最新算法的使用场景，并提升产品性能
● 参与最前沿的NLP和机器学习领域的研究工作，并用于实际问题的解决和优化","南京 - 栖霞区 - 尧化 - 兴智科技园C座
","摄星科技
移动互联网,人工智能
天使轮
15-50人
https://www.lagou.com/gon..."
345,高级自然语言处理算法工程师,健康有益AI中心招聘,20k-40k,/北京 /,经验3-5年 /,硕士及以上 /,全职,"
行业前景,个人成长,激励机制","
工作职责:
1.实现NLP在健康垂直领域的对话系统、推荐系统、知识图谱等方向上的应用；
2.利用DL、NLP技术解决产品问题；
3.研究自然语言处理领域的前沿技术。
  任职要求:
1.计算机、信息与信号处理、通信、数学等相关专业硕士或博士学历，博士优先；
2.有NLP/NLU、文本挖掘、机器学习、深度学习等相关领域的研究背景，对CNN，RNN有深刻理解；
3.在语义分析、知识图谱、对话系统等方面有丰富的工程实战经验者优先；
4.熟悉Java/c++/c/python等一门或多门编程语言；
5.精通tensorflow/torch/caffe等一种或多种深度学习框架；
6.具备良好的英文文献检索与阅读能力；
7.了解NLP等领域的前沿方向与研究动向。","北京 - 朝阳区 - 阜通东大街6号方恒国际中心A座11层
","健康有益
移动互联网,医疗丨健康
B轮
50-150人
http://www.jiankangyouyi.com"
346,自然语言处理研究员,时度检测算法部招聘,40k-80k,/北京 /,经验应届毕业生 /,学历不限 /,全职,"
快速发展型企业","

负责视频搜索和推荐中的文本处理、多模态数据挖掘及大规模数据分析的研发； 
负责视频领域实体识别、视频标签提取、视频分类、视频向量化、视频标签库和标签关系等相关视频侧特征挖掘以及相关数据在视频搜索和视频推荐中的应用探索等任务。
任职要求：
硕士3年以上，博士1年以上
最好37岁以下，专家级可以放宽到40岁
精通自然语言处理，数据挖掘相关技术3年以上相关工作经验； 熟悉机器学习和数据挖掘的基本算法，有实际工程研究经验； 熟悉深度学习技术； 精通C/C++/python编程，熟悉常用算法及优化；
具备优秀的分析和解决问题的能力，良好的沟通和学习能力。","北京 - 海淀区 - 五道口 - 中关村希格玛大厦
","时度检测
企业服务,其他
不需要融资
15-50人
https://www.lagou.com/gon..."
